import_params_warning_no_model,提示: 此参数组未包含模型信息 (Model)，请手动确认路径组合。,"Note: This param. group does not contain model info (Model), please manually confirm path combination.",Warning,
import_params_error_format,导入失败：文件格式不匹配 (缺少关键列),Import failed: File format mismatch (missing key cols),Error Message,
import_params_success_count,成功导入 {count} 组参数,Successfully imported {count} param. groups,Message,
import_params_error,导入出错：,Import error:,Error Message,
import_params_auto_filled,已从xlsx文件自动填充实验参数,Experimental params auto-filled from xlsx,Message,
import_fit_data_as_exp,未找到实验数据，已将拟合数据作为实验数据导入 (simulation sheet),No experimental data found. Imoport fit data as experimental data (simulation sheet),Message,
import_params_from_fit_params,meta/power_corrected 中无参数，已从 fit_params 读取实验条件,Meta/power_corrected has no params. Read expt. conditions from fit_params,Message,
import_params_no_source,未读到参数信息，已使用默认参数,No param info found. Using default parameters,Message,
export_error_no_data,无法导出：模拟计算出错，暂无有效模拟数据。请检查参数后重试。,"Cannot export: Simulation calc. error, no valid simulation data. Please check params & try again.",Error Message,
export_error_no_data_note,导出时模拟数据不可用，请检查参数后重试,"Simulation data unavailable during export, please check params & try again.",Note,
v_pre_change_warning,检测到实验第一针体积变更。如需拟合第一针体积，请同步检查并更新 V_init。,"Experimental first injection volume changed. If fitting the 1st injection, please update V_init accordingly.",Warning,
plot_error,绘图出错：,Plotting error:,Error Message,
residual_plot_required,请先启用误差分析并完成拟合,Please enable error analysis and complete fitting first,Message,
no_data_step3,暂无可发送到Step3的数据,No data available for Step 3.,Message,
data_sent_step3,数据已发送到Step3,Data sent to Step 3.,Message,
step1_loaded_to_step2,已将 Step1 数据加载到 Step2,Loaded Step 1 data into Step 2.,Message,
step1_payload_skipped,Step1桥接数据已跳过: %s,Step1 bridge payload skipped: %s,Warning,
exp_data_removed_sim_only,实验数据已移除，当前仅模拟模式,Experimental data removed. Simulation-only mode.,Message,
missing_heat_ucal_integration,integration 中缺少 Heat_ucal，无法按当前参数重算热量,Missing Heat_ucal in integration; cannot recalculate heat from current parameters.,Warning,
weighted_method,加权,Weighted,Method Label,
robust_method,鲁棒,Robust,Method Label,
rss_na,N/A,N/A,Value,
calc_error,计算失败：,Calculation failed:,Error Message,
calc_error_suggestion,建议：检查参数是否在合理范围内,Suggestion: Check if params are within reasonable range,Error Message,
error_occurred,发生错误,An error occurred,Error Message,
error_context_format,{context}: {message},{context}: {message},Error Message,Error message with context
error_log_failed,日志记录失败,Failed to write log,Error Message,
error_notification_failed,通知显示失败,Failed to show notification,Error Message,
error_E001_title,数据无效,Data Invalid,Error Code Title,
error_E001_desc,数据验证失败，请检查数据格式和内容,Data validation failed. Please check data format and content.,Error Code Description,
error_E002_title,数据缺失,Data Missing,Error Code Title,
error_E002_desc,缺少必需的数据,Required data is missing.,Error Code Description,
error_E003_title,数据格式错误,Data Format Error,Error Code Title,
error_E003_desc,数据格式不符合要求,Data format does not meet requirements.,Error Code Description,
error_E101_title,参数无效,Parameter Invalid,Error Code Title,
error_E101_desc,参数值无效或不合理,Parameter value is invalid or unreasonable.,Error Code Description,
error_E102_title,参数超出范围,Parameter Out of Bounds,Error Code Title,
